10/28/2014 9:05:10 AM Connected to IEST
10/28/2014 9:05:10 AM -----------------------------------
10/28/2014 9:05:10 AM AccAPBatch Complete
10/28/2014 9:05:10 AM AccAPBatchDetail Complete
10/28/2014 9:05:10 AM AccBankRec Complete
10/28/2014 9:05:10 AM AccBanks Complete
10/28/2014 9:05:10 AM AccBegBal Complete
10/28/2014 9:05:10 AM AccCCDefaults Complete
10/28/2014 9:05:10 AM AccChart Complete
10/28/2014 9:05:10 AM AccCompanies Complete
10/28/2014 9:05:10 AM AccCoOp Complete
10/28/2014 9:05:10 AM AccDisbursement Complete
10/28/2014 9:05:10 AM AccInvoices Complete
10/28/2014 9:05:10 AM AccJournalChecks Complete
10/28/2014 9:05:10 AM AccJournals Complete
10/28/2014 9:09:14 AM AccMonthEnd Complete
10/28/2014 9:09:15 AM AccTrans Complete
10/28/2014 9:09:17 AM AccTransDetail Complete
10/28/2014 9:09:20 AM AccTransDetailHistory Complete
10/28/2014 9:09:21 AM AccTransHistory Complete
10/28/2014 9:09:21 AM AccTransImport Complete
10/28/2014 9:09:21 AM Brands Complete
10/28/2014 9:09:21 AM CityCodes Complete
10/28/2014 9:09:22 AM CodeList Complete
10/28/2014 9:09:22 AM ExchRates Complete
10/28/2014 9:09:23 AM Inventory Complete
10/28/2014 9:09:23 AM Markets Complete
10/28/2014 9:10:31 AM MrkAddress Complete
10/28/2014 9:10:31 AM MrkContactPromotions Complete
10/28/2014 9:10:31 AM MrkContactReview Complete
10/28/2014 9:11:58 AM MrkContacts Complete
10/28/2014 9:11:59 AM MrkCustomers Complete
10/28/2014 9:11:59 AM MrkFeedback Complete
10/28/2014 9:11:59 AM MrkSegment Complete
10/28/2014 9:11:59 AM MrkFeedbackAnswer Complete
10/28/2014 9:13:15 AM MrkSubscriptionHistory Complete
10/28/2014 9:13:15 AM MrkSubscriptionLists Complete
10/28/2014 9:13:16 AM MrkSurvey Complete
10/28/2014 9:13:16 AM MrkSurveyQuestion Complete
10/28/2014 9:13:16 AM MrkTerritory Complete
10/28/2014 9:13:16 AM Product Complete
10/28/2014 9:13:17 AM ProductDetail Complete
10/28/2014 9:13:17 AM ProductPrices Complete
10/28/2014 9:13:17 AM ProductShopHistory Complete
10/28/2014 9:13:35 AM ResGeneral Complete
10/28/2014 9:13:42 AM ResItinerary Complete
10/28/2014 9:13:44 AM ResMemos Complete
10/28/2014 9:13:59 AM ResPassengers Complete
10/28/2014 9:14:00 AM SupplierRates Complete
10/28/2014 9:14:00 AM Suppliers Complete
10/28/2014 9:14:01 AM SupplierServices Complete
10/28/2014 9:14:01 AM Users Complete
10/28/2014 9:14:01 AM MrkBrochureCode Complete
10/28/2014 9:14:01 AM MrkCampaign Complete
10/28/2014 9:14:01 AM MrkChannel Complete
10/28/2014 9:14:01 AM MrkBrochureRequest Complete
10/28/2014 9:14:01 AM MrkBlastDetail Complete
10/29/2014 2:30:01 AM Connected to IEST
10/29/2014 2:30:01 AM -----------------------------------
10/29/2014 2:30:02 AM AccAPBatch Complete
10/29/2014 2:30:02 AM AccAPBatchDetail Complete
10/29/2014 2:30:02 AM AccBankRec Complete
10/29/2014 2:30:02 AM AccBanks Complete
10/29/2014 2:30:02 AM AccBegBal Complete
10/29/2014 2:30:02 AM AccCCDefaults Complete
10/29/2014 2:30:02 AM AccChart Complete
10/29/2014 2:30:02 AM AccCompanies Complete
10/29/2014 2:30:02 AM AccCoOp Complete
10/29/2014 2:30:02 AM AccDisbursement Complete
10/29/2014 2:30:02 AM AccInvoices Complete
10/29/2014 2:30:02 AM AccJournalChecks Complete
10/29/2014 2:30:02 AM AccJournals Complete
10/29/2014 2:36:11 AM AccMonthEnd Complete
10/29/2014 2:36:13 AM AccTrans Complete
10/29/2014 2:36:16 AM AccTransDetail Complete
10/29/2014 2:36:21 AM AccTransDetailHistory Complete
10/29/2014 2:36:23 AM AccTransHistory Complete
10/29/2014 2:36:23 AM AccTransImport Complete
10/29/2014 2:36:23 AM Brands Complete
10/29/2014 2:36:23 AM CityCodes Complete
10/29/2014 2:36:24 AM CodeList Complete
10/29/2014 2:36:24 AM ExchRates Complete
10/29/2014 2:36:25 AM Inventory Complete
10/29/2014 2:36:25 AM Markets Complete
10/29/2014 2:38:08 AM MrkAddress Complete
10/29/2014 2:38:08 AM MrkContactPromotions Complete
10/29/2014 2:38:08 AM MrkContactReview Complete
10/29/2014 2:40:14 AM MrkContacts Complete
10/29/2014 2:40:15 AM MrkCustomers Complete
10/29/2014 2:40:15 AM MrkFeedback Complete
10/29/2014 2:40:15 AM MrkSegment Complete
10/29/2014 2:40:15 AM MrkFeedbackAnswer Complete
10/29/2014 2:42:09 AM MrkSubscriptionHistory Complete
10/29/2014 2:42:09 AM MrkSubscriptionLists Complete
10/29/2014 2:42:09 AM MrkSurvey Complete
10/29/2014 2:42:09 AM MrkSurveyQuestion Complete
10/29/2014 2:42:09 AM MrkTerritory Complete
10/29/2014 2:42:09 AM Product Complete
10/29/2014 2:42:11 AM ProductDetail Complete
10/29/2014 2:42:12 AM ProductPrices Complete
10/29/2014 2:42:12 AM ProductShopHistory Complete
10/29/2014 2:42:36 AM ResGeneral Complete
10/29/2014 2:42:46 AM ResItinerary Complete
10/29/2014 2:42:48 AM ResMemos Complete
10/29/2014 2:43:10 AM ResPassengers Complete
10/29/2014 2:43:11 AM SupplierRates Complete
10/29/2014 2:43:12 AM Suppliers Complete
10/29/2014 2:43:12 AM SupplierServices Complete
10/29/2014 2:43:12 AM Users Complete
10/29/2014 2:43:12 AM MrkBrochureCode Complete
10/29/2014 2:43:12 AM MrkCampaign Complete
10/29/2014 2:43:12 AM MrkChannel Complete
10/29/2014 2:43:12 AM MrkBrochureRequest Complete
10/29/2014 2:43:12 AM MrkBlastDetail Complete
10/30/2014 2:30:02 AM Connected to IEST
10/30/2014 2:30:02 AM -----------------------------------
10/30/2014 2:30:02 AM AccAPBatch Complete
10/30/2014 2:30:03 AM AccAPBatchDetail Complete
10/30/2014 2:30:03 AM AccBankRec Complete
10/30/2014 2:30:03 AM AccBanks Complete
10/30/2014 2:30:03 AM AccBegBal Complete
10/30/2014 2:30:03 AM AccCCDefaults Complete
10/30/2014 2:30:03 AM AccChart Complete
10/30/2014 2:30:03 AM AccCompanies Complete
10/30/2014 2:30:03 AM AccCoOp Complete
10/30/2014 2:30:03 AM AccDisbursement Complete
10/30/2014 2:30:03 AM AccInvoices Complete
10/30/2014 2:30:03 AM AccJournalChecks Complete
10/30/2014 2:30:03 AM AccJournals Complete
10/30/2014 2:36:24 AM AccMonthEnd Complete
10/30/2014 2:36:26 AM AccTrans Complete
10/30/2014 2:36:29 AM AccTransDetail Complete
10/30/2014 2:36:35 AM AccTransDetailHistory Complete
10/30/2014 2:36:37 AM AccTransHistory Complete
10/30/2014 2:36:37 AM AccTransImport Complete
10/30/2014 2:36:37 AM Brands Complete
10/30/2014 2:36:38 AM CityCodes Complete
10/30/2014 2:36:38 AM CodeList Complete
10/30/2014 2:36:38 AM ExchRates Complete
10/30/2014 2:36:39 AM Inventory Complete
10/30/2014 2:36:39 AM Markets Complete
10/30/2014 2:38:26 AM MrkAddress Complete
10/30/2014 2:38:26 AM MrkContactPromotions Complete
10/30/2014 2:38:26 AM MrkContactReview Complete
10/30/2014 2:40:38 AM MrkContacts Complete
10/30/2014 2:40:39 AM MrkCustomers Complete
10/30/2014 2:40:39 AM MrkFeedback Complete
10/30/2014 2:40:39 AM MrkSegment Complete
10/30/2014 2:40:39 AM MrkFeedbackAnswer Complete
10/30/2014 2:42:37 AM MrkSubscriptionHistory Complete
10/30/2014 2:42:37 AM MrkSubscriptionLists Complete
10/30/2014 2:42:37 AM MrkSurvey Complete
10/30/2014 2:42:37 AM MrkSurveyQuestion Complete
10/30/2014 2:42:37 AM MrkTerritory Complete
10/30/2014 2:42:37 AM Product Complete
10/30/2014 2:42:39 AM ProductDetail Complete
10/30/2014 2:42:40 AM ProductPrices Complete
10/30/2014 2:42:40 AM ProductShopHistory Complete
10/30/2014 2:43:06 AM ResGeneral Complete
10/30/2014 2:43:16 AM ResItinerary Complete
10/30/2014 2:43:18 AM ResMemos Complete
10/30/2014 2:43:42 AM ResPassengers Complete
10/30/2014 2:43:44 AM SupplierRates Complete
10/30/2014 2:43:44 AM Suppliers Complete
10/30/2014 2:43:45 AM SupplierServices Complete
10/30/2014 2:43:45 AM Users Complete
10/30/2014 2:43:45 AM MrkBrochureCode Complete
10/30/2014 2:43:45 AM MrkCampaign Complete
10/30/2014 2:43:45 AM MrkChannel Complete
10/30/2014 2:43:45 AM MrkBrochureRequest Complete
10/30/2014 2:43:45 AM MrkBlastDetail Complete
10/31/2014 2:30:01 AM Connected to IEST
10/31/2014 2:30:01 AM -----------------------------------
10/31/2014 2:30:01 AM AccAPBatch Complete
10/31/2014 2:30:01 AM AccAPBatchDetail Complete
10/31/2014 2:30:02 AM AccBankRec Complete
10/31/2014 2:30:02 AM AccBanks Complete
10/31/2014 2:30:02 AM AccBegBal Complete
10/31/2014 2:30:02 AM AccCCDefaults Complete
10/31/2014 2:30:02 AM AccChart Complete
10/31/2014 2:30:02 AM AccCompanies Complete
10/31/2014 2:30:02 AM AccCoOp Complete
10/31/2014 2:30:02 AM AccDisbursement Complete
10/31/2014 2:30:02 AM AccInvoices Complete
10/31/2014 2:30:02 AM AccJournalChecks Complete
10/31/2014 2:30:02 AM AccJournals Complete
10/31/2014 2:37:38 AM AccMonthEnd Complete
10/31/2014 2:37:39 AM AccTrans Complete
10/31/2014 2:37:41 AM AccTransDetail Complete
10/31/2014 2:37:45 AM AccTransDetailHistory Complete
10/31/2014 2:37:47 AM AccTransHistory Complete
10/31/2014 2:37:47 AM AccTransImport Complete
10/31/2014 2:37:47 AM Brands Complete
10/31/2014 2:37:48 AM CityCodes Complete
10/31/2014 2:37:48 AM CodeList Complete
10/31/2014 2:37:48 AM ExchRates Complete
10/31/2014 2:37:49 AM Inventory Complete
10/31/2014 2:37:49 AM Markets Complete
10/31/2014 2:39:12 AM MrkAddress Complete
10/31/2014 2:39:12 AM MrkContactPromotions Complete
10/31/2014 2:39:12 AM MrkContactReview Complete
